Time,Scenario,Bandwidth_Mbps,Latency_ms,CPU_Usage_percent,Task_Size_MB,Existing_Decision,Proposed_Decision,Proposed_Status,Proposed_Predicted_Latency_ms
1,Stable,85.0,19.0,20.0,5.0,EDGE,,collecting_data,
2,Stable,78.0,21.0,24.0,2.0,EDGE,,collecting_data,
3,Stable,85.0,19.0,38.0,7.0,EDGE,,collecting_data,
4,Stable,75.0,18.0,22.0,4.0,EDGE,,collecting_data,
5,Stable,78.0,18.0,37.0,4.0,EDGE,,collecting_data,
6,Stable,85.0,24.0,27.0,8.0,EDGE,,collecting_data,
7,Stable,84.0,22.0,20.0,3.0,EDGE,,collecting_data,
8,Stable,81.0,23.0,28.0,3.0,EDGE,,collecting_data,
9,Stable,78.0,23.0,23.0,2.0,EDGE,,collecting_data,
10,Stable,81.0,19.0,31.0,6.0,EDGE,EDGE,prediction_complete,23.96
11,Stable,84.0,22.0,21.0,8.0,EDGE,EDGE,prediction_complete,23.52
12,Stable,83.0,19.0,32.0,2.0,EDGE,EDGE,prediction_complete,23.94
13,Stable,83.0,22.0,40.0,10.0,EDGE,EDGE,prediction_complete,23.85
14,Stable,80.0,21.0,22.0,1.0,EDGE,EDGE,prediction_complete,24.05
15,Stable,85.0,21.0,29.0,2.0,EDGE,EDGE,prediction_complete,24.19
16,Stable,78.0,19.0,32.0,5.0,EDGE,EDGE,prediction_complete,24.31
17,Stable,82.0,23.0,25.0,6.0,EDGE,EDGE,prediction_complete,24.12
18,Stable,80.0,21.0,28.0,2.0,EDGE,EDGE,prediction_complete,24.34
19,Stable,84.0,20.0,37.0,4.0,EDGE,EDGE,prediction_complete,24.65
20,Stable,77.0,25.0,32.0,5.0,EDGE,EDGE,prediction_complete,24.75
21,Stable,85.0,21.0,30.0,1.0,EDGE,EDGE,prediction_complete,25.47
22,Stable,78.0,18.0,30.0,7.0,EDGE,EDGE,prediction_complete,24.91
23,Stable,79.0,19.0,26.0,10.0,EDGE,EDGE,prediction_complete,24.17
24,Stable,80.0,21.0,40.0,8.0,EDGE,EDGE,prediction_complete,24.44
25,Stable,81.0,25.0,24.0,5.0,EDGE,EDGE,prediction_complete,24.4
26,Stable,77.0,21.0,37.0,9.0,EDGE,EDGE,prediction_complete,24.34
27,Stable,79.0,24.0,38.0,7.0,EDGE,EDGE,prediction_complete,24.88
28,Stable,80.0,21.0,24.0,9.0,EDGE,EDGE,prediction_complete,24.3
