Time,Scenario,Bandwidth_Mbps,Latency_ms,CPU_Usage_percent,Task_Size_MB,Existing_Decision,Decision_Score,Reasons
1,Stable,85,19.0,20.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
2,Stable,78,21.0,24.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
3,Stable,85,19.0,38.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
4,Stable,75,18.0,22.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
5,Stable,78,18.0,37.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
6,Stable,85,24.0,27.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
7,Stable,84,22.0,20.0,3.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
8,Stable,81,23.0,28.0,3.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
9,Stable,78,23.0,23.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
10,Stable,81,19.0,31.0,6.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
11,Stable,84,22.0,21.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
12,Stable,83,19.0,32.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
13,Stable,83,22.0,40.0,10.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
14,Stable,80,21.0,22.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
15,Stable,85,21.0,29.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
16,Stable,78,19.0,32.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
17,Stable,82,23.0,25.0,6.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
18,Stable,80,21.0,28.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
19,Stable,84,20.0,37.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
