Time,Scenario,Bandwidth_Mbps,Input_Network_Latency_ms,CPU_Usage_percent,Task_Size_MB,Existing_Decision,Proposed_Decision,Estimated_EDGE_Latency_ms,Estimated_CLOUD_Latency_ms,Existing_Estimated_Latency_ms,Proposed_Estimated_Latency_ms
10,Stable,81.0,19.0,31.0,6.0,EDGE,EDGE,703.1999999999999,739.0325925925927,703.1999999999999,703.1999999999999
11,Stable,84.0,22.0,21.0,8.0,EDGE,EDGE,841.5999999999999,950.6247619047618,841.5999999999999,841.5999999999999
12,Stable,83.0,19.0,32.0,2.0,EDGE,EDGE,236.8,254.3310843373494,236.8,236.8
13,Stable,83.0,22.0,40.0,10.0,EDGE,EDGE,1280.0,1201.855421686747,1280.0,1280.0
14,Stable,80.0,21.0,22.0,1.0,EDGE,EDGE,106.4,141.88,106.4,106.4
15,Stable,85.0,21.0,29.0,2.0,EDGE,EDGE,229.60000000000002,251.55529411764704,229.60000000000002,229.60000000000002
16,Stable,78.0,19.0,32.0,5.0,EDGE,EDGE,592.0,638.2205128205128,592.0,592.0
17,Stable,82.0,23.0,25.0,6.0,EDGE,EDGE,660.0,734.3658536585366,660.0,660.0
18,Stable,80.0,21.0,28.0,2.0,EDGE,EDGE,227.2,263.24,227.2,227.2
19,Stable,84.0,20.0,37.0,4.0,EDGE,EDGE,497.59999999999997,486.8723809523809,497.59999999999997,497.59999999999997
20,Stable,77.0,25.0,32.0,5.0,EDGE,EDGE,592.0,650.8805194805194,592.0,592.0
21,Stable,85.0,21.0,30.0,1.0,EDGE,EDGE,116.0,136.31764705882352,116.0,116.0
22,Stable,78.0,18.0,30.0,7.0,EDGE,EDGE,812.0,884.3487179487179,812.0,812.0
23,Stable,79.0,19.0,26.0,10.0,EDGE,EDGE,1112.0,1242.0582278481015,1112.0,1112.0
24,Stable,80.0,21.0,40.0,8.0,EDGE,EDGE,1024.0,993.8,1024.0,1024.0
25,Stable,81.0,25.0,24.0,5.0,EDGE,EDGE,544.0,623.6271604938272,544.0,544.0
26,Stable,77.0,21.0,37.0,9.0,EDGE,EDGE,1119.6,1149.384935064935,1119.6,1119.6
27,Stable,79.0,24.0,38.0,7.0,EDGE,EDGE,879.2,883.5007594936709,879.2,879.2
28,Stable,80.0,21.0,24.0,9.0,EDGE,EDGE,979.1999999999999,1109.64,979.1999999999999,979.1999999999999
29,Stable,82.0,19.0,21.0,2.0,EDGE,EDGE,210.39999999999998,255.8019512195122,210.39999999999998,210.39999999999998
30,Stable,77.0,20.0,33.0,10.0,EDGE,EDGE,1196.0,1272.161038961039,1196.0,1196.0
31,Stable,76.0,24.0,32.0,10.0,EDGE,EDGE,1184.0,1289.4315789473683,1184.0,1184.0
32,Stable,82.0,22.0,37.0,1.0,EDGE,EDGE,124.39999999999999,141.0409756097561,124.39999999999999,124.39999999999999
33,Stable,85.0,19.0,37.0,5.0,EDGE,EDGE,622.0,596.9882352941177,622.0,622.0
34,Stable,85.0,23.0,23.0,5.0,EDGE,EDGE,538.0,598.1882352941176,538.0,538.0
35,Stable,81.0,20.0,34.0,1.0,EDGE,EDGE,120.8,140.12543209876543,120.8,120.8
36,Stable,79.0,20.0,36.0,2.0,EDGE,EDGE,246.4,265.41164556962025,246.4,246.4
37,Stable,85.0,22.0,40.0,9.0,EDGE,EDGE,1152.0,1063.4588235294118,1152.0,1152.0
38,Stable,84.0,21.0,24.0,6.0,EDGE,EDGE,652.8,718.1885714285714,652.8,652.8
39,Stable,77.0,18.0,39.0,6.0,EDGE,EDGE,760.8,770.7366233766234,760.8,760.8
40,Stable,82.0,18.0,23.0,6.0,EDGE,EDGE,645.6,728.8858536585366,645.6,645.6
41,Stable,79.0,21.0,21.0,4.0,EDGE,EDGE,420.79999999999995,509.4232911392405,420.79999999999995,420.79999999999995
42,Stable,84.0,19.0,22.0,8.0,EDGE,EDGE,851.2,947.9447619047619,851.2,851.2
43,Stable,76.0,20.0,24.0,8.0,EDGE,EDGE,870.3999999999999,1029.7852631578946,870.3999999999999,870.3999999999999
44,Stable,83.0,20.0,28.0,9.0,EDGE,EDGE,1022.4,1077.5498795180722,1022.4,1022.4
45,Stable,84.0,24.0,26.0,9.0,EDGE,EDGE,1000.8000000000001,1070.502857142857,1000.8000000000001,1000.8000000000001
46,Stable,78.0,22.0,32.0,6.0,EDGE,EDGE,710.4,765.0646153846155,710.4,710.4
47,Stable,82.0,25.0,23.0,4.0,EDGE,EDGE,430.4,498.9239024390244,430.4,430.4
48,Stable,78.0,19.0,30.0,1.0,EDGE,EDGE,116.0,142.76410256410256,116.0,116.0
49,Stable,84.0,21.0,38.0,4.0,EDGE,EDGE,502.40000000000003,488.0323809523809,502.40000000000003,502.40000000000003
50,Stable,75.0,19.0,40.0,1.0,EDGE,EDGE,128.0,147.26666666666668,128.0,128.0
51,Stable,78.0,19.0,21.0,6.0,EDGE,EDGE,631.1999999999999,759.4246153846154,631.1999999999999,631.1999999999999
52,Stable,76.0,21.0,28.0,8.0,EDGE,EDGE,908.8,1032.0652631578946,908.8,908.8
53,Stable,78.0,20.0,38.0,10.0,EDGE,EDGE,1256.0,1260.8410256410257,1256.0,1256.0
54,Stable,82.0,21.0,35.0,7.0,EDGE,EDGE,854.0,853.7268292682927,854.0,854.0
55,Stable,78.0,19.0,23.0,7.0,EDGE,EDGE,753.1999999999999,883.3887179487178,753.1999999999999,753.1999999999999
56,Stable,80.0,24.0,33.0,8.0,EDGE,EDGE,956.8000000000001,994.56,956.8000000000001,956.8000000000001
57,Stable,75.0,19.0,21.0,7.0,EDGE,EDGE,736.4,911.5466666666667,736.4,736.4
58,Stable,80.0,19.0,27.0,4.0,EDGE,EDGE,449.6,503.32,449.6,449.6
59,Stable,78.0,25.0,24.0,7.0,EDGE,EDGE,761.5999999999999,889.6687179487179,761.5999999999999,761.5999999999999
60,Stable,77.0,22.0,34.0,4.0,EDGE,EDGE,483.2,523.0244155844157,483.2,483.2
61,Stable,76.0,25.0,37.0,2.0,EDGE,EDGE,248.79999999999998,278.4863157894737,248.79999999999998,248.79999999999998
62,Stable,75.0,18.0,22.0,4.0,EDGE,EDGE,425.6,528.1866666666667,425.6,425.6
63,Stable,77.0,24.0,35.0,8.0,EDGE,EDGE,976.0,1026.3688311688313,976.0,976.0
64,Stable,78.0,24.0,21.0,3.0,EDGE,EDGE,315.59999999999997,394.2123076923077,315.59999999999997,315.59999999999997
65,Stable,81.0,18.0,32.0,5.0,EDGE,EDGE,592.0,618.2271604938271,592.0,592.0
66,Stable,82.0,22.0,33.0,9.0,EDGE,EDGE,1076.4,1091.928780487805,1076.4,1076.4
67,Stable,85.0,25.0,24.0,4.0,EDGE,EDGE,435.19999999999993,485.31058823529406,435.19999999999993,435.19999999999993
68,Stable,79.0,21.0,21.0,10.0,EDGE,EDGE,1052.0,1242.0582278481015,1052.0,1052.0
69,Stable,83.0,18.0,30.0,1.0,EDGE,EDGE,116.0,135.5855421686747,116.0,116.0
70,Stable,75.0,25.0,36.0,9.0,EDGE,EDGE,1108.8,1177.96,1108.8,1108.8
71,Stable,77.0,18.0,36.0,2.0,EDGE,EDGE,246.4,268.6722077922078,246.4,246.4
72,Stable,77.0,19.0,39.0,2.0,EDGE,EDGE,253.6,269.9122077922078,253.6,253.6
73,Stable,85.0,21.0,32.0,2.0,EDGE,EDGE,236.8,251.79529411764705,236.8,236.8
74,Stable,84.0,21.0,38.0,10.0,EDGE,EDGE,1256.0,1188.5809523809523,1256.0,1256.0
75,Stable,75.0,19.0,33.0,10.0,EDGE,EDGE,1196.0,1298.8666666666668,1196.0,1196.0
76,Stable,84.0,23.0,28.0,4.0,EDGE,EDGE,454.4,488.4323809523809,454.4,454.4
77,Stable,85.0,23.0,27.0,5.0,EDGE,EDGE,562.0,598.9882352941177,562.0,562.0
78,Stable,81.0,20.0,40.0,5.0,EDGE,EDGE,640.0,621.8271604938271,640.0,640.0
79,Stable,82.0,23.0,22.0,1.0,EDGE,EDGE,106.4,141.4409756097561,106.4,106.4
80,Stable,82.0,19.0,22.0,9.0,EDGE,EDGE,957.6,1084.968780487805,957.6,957.6
81,Stable,78.0,22.0,24.0,6.0,EDGE,EDGE,652.8,763.1446153846155,652.8,652.8
82,Stable,76.0,21.0,31.0,5.0,EDGE,EDGE,586.0,653.5157894736842,586.0,586.0
83,Stable,77.0,25.0,37.0,5.0,EDGE,EDGE,622.0,651.8805194805194,622.0,622.0
84,Stable,84.0,18.0,37.0,5.0,EDGE,EDGE,622.0,601.5904761904761,622.0,622.0
85,Stable,85.0,19.0,24.0,5.0,EDGE,EDGE,544.0,594.3882352941176,544.0,544.0
86,Stable,76.0,19.0,37.0,3.0,EDGE,EDGE,373.2,399.2294736842105,373.2,373.2
87,Stable,79.0,22.0,39.0,4.0,EDGE,EDGE,507.2,513.3032911392405,507.2,507.2
88,Stable,80.0,21.0,40.0,5.0,EDGE,EDGE,640.0,629.0,640.0,640.0
89,Stable,83.0,25.0,28.0,1.0,EDGE,EDGE,113.6,142.5055421686747,113.6,113.6
90,Stable,76.0,24.0,28.0,1.0,EDGE,EDGE,113.6,150.38315789473683,113.6,113.6
91,Stable,75.0,23.0,24.0,5.0,EDGE,EDGE,544.0,661.1333333333334,544.0,544.0
92,Stable,77.0,25.0,37.0,7.0,EDGE,EDGE,870.8,902.6327272727273,870.8,870.8
93,Stable,83.0,18.0,23.0,2.0,EDGE,EDGE,215.2,252.6110843373494,215.2,215.2
94,Stable,77.0,18.0,31.0,10.0,EDGE,EDGE,1172.0,1269.361038961039,1172.0,1172.0
95,Stable,83.0,20.0,33.0,3.0,EDGE,EDGE,358.8,373.1166265060241,358.8,358.8
96,Stable,75.0,22.0,31.0,1.0,EDGE,EDGE,117.19999999999999,149.9066666666667,117.19999999999999,117.19999999999999
97,Stable,80.0,21.0,27.0,2.0,EDGE,EDGE,224.8,263.16,224.8,224.8
98,Stable,80.0,24.0,39.0,3.0,EDGE,EDGE,380.4,388.68,380.4,380.4
99,Stable,78.0,20.0,25.0,7.0,EDGE,EDGE,770.0,884.9487179487179,770.0,770.0
100,Stable,75.0,20.0,30.0,7.0,EDGE,EDGE,812.0,915.0666666666667,812.0,812.0
101,Stable,85.0,21.0,28.0,3.0,EDGE,EDGE,340.79999999999995,366.7129411764706,340.79999999999995,340.79999999999995
102,Stable,76.0,24.0,21.0,8.0,EDGE,EDGE,841.5999999999999,1032.8252631578946,841.5999999999999,841.5999999999999
103,Stable,78.0,21.0,34.0,6.0,EDGE,EDGE,724.8,764.5446153846154,724.8,724.8
104,Stable,79.0,21.0,27.0,1.0,EDGE,EDGE,112.4,143.34582278481014,112.4,112.4
105,Stable,85.0,21.0,32.0,6.0,EDGE,EDGE,710.4,713.3858823529413,710.4,710.4
106,Stable,79.0,19.0,28.0,6.0,EDGE,EDGE,681.5999999999999,753.3149367088608,681.5999999999999,681.5999999999999
107,Stable,85.0,24.0,37.0,6.0,EDGE,EDGE,746.4,717.5858823529412,746.4,746.4
108,Stable,75.0,19.0,28.0,3.0,EDGE,EDGE,340.79999999999995,402.36,340.79999999999995,340.79999999999995
109,Stable,84.0,22.0,21.0,2.0,EDGE,EDGE,210.39999999999998,254.15619047619046,210.39999999999998,210.39999999999998
110,Stable,84.0,24.0,31.0,6.0,EDGE,EDGE,703.1999999999999,722.8685714285715,703.1999999999999,703.1999999999999
111,Stable,81.0,19.0,32.0,10.0,EDGE,EDGE,1184.0,1219.4543209876542,1184.0,1184.0
112,Stable,78.0,22.0,21.0,7.0,EDGE,EDGE,736.4,885.8287179487179,736.4,736.4
113,Stable,75.0,21.0,31.0,7.0,EDGE,EDGE,820.3999999999999,916.3466666666668,820.3999999999999,820.3999999999999
114,Stable,76.0,23.0,39.0,6.0,EDGE,EDGE,760.8,783.938947368421,760.8,760.8
115,Stable,85.0,19.0,29.0,9.0,EDGE,EDGE,1033.2,1056.4988235294118,1033.2,1033.2
116,Stable,79.0,24.0,30.0,7.0,EDGE,EDGE,812.0,881.2607594936709,812.0,812.0
117,Stable,79.0,20.0,26.0,7.0,EDGE,EDGE,778.4000000000001,876.1407594936709,778.4000000000001,778.4000000000001
118,Stable,85.0,24.0,25.0,10.0,EDGE,EDGE,1100.0,1175.1764705882351,1100.0,1100.0
119,Stable,84.0,22.0,32.0,9.0,EDGE,EDGE,1065.6,1070.662857142857,1065.6,1065.6
120,Stable,75.0,22.0,29.0,4.0,EDGE,EDGE,459.20000000000005,533.3066666666667,459.20000000000005,459.20000000000005
121,Stable,81.0,23.0,34.0,8.0,EDGE,EDGE,966.4,984.0034567901234,966.4,966.4
122,Stable,82.0,21.0,36.0,8.0,EDGE,EDGE,985.6,973.0078048780488,985.6,985.6
123,Stable,77.0,19.0,29.0,9.0,EDGE,EDGE,1033.2,1144.5049350649351,1033.2,1033.2
124,Stable,85.0,23.0,22.0,4.0,EDGE,EDGE,425.6,482.9905882352941,425.6,425.6
125,Stable,85.0,22.0,27.0,4.0,EDGE,EDGE,449.6,482.7905882352941,449.6,449.6
126,Stable,77.0,18.0,21.0,4.0,EDGE,EDGE,420.79999999999995,516.9444155844157,420.79999999999995,420.79999999999995
127,Stable,82.0,19.0,34.0,7.0,EDGE,EDGE,845.6,851.4468292682927,845.6,845.6
128,Stable,85.0,21.0,32.0,8.0,EDGE,EDGE,947.2,944.1811764705882,947.2,947.2
129,Stable,81.0,21.0,24.0,1.0,EDGE,EDGE,108.79999999999998,140.72543209876542,108.79999999999998,108.79999999999998
130,Stable,76.0,24.0,27.0,3.0,EDGE,EDGE,337.2,403.02947368421053,337.2,337.2
131,Stable,83.0,25.0,21.0,9.0,EDGE,EDGE,946.8,1080.0298795180722,946.8,946.8
132,Stable,78.0,19.0,34.0,3.0,EDGE,EDGE,362.4,390.7723076923077,362.4,362.4
133,Stable,82.0,23.0,34.0,10.0,EDGE,EDGE,1208.0,1212.209756097561,1208.0,1208.0
134,Stable,83.0,24.0,37.0,8.0,EDGE,EDGE,995.1999999999999,966.9243373493977,995.1999999999999,995.1999999999999
135,Stable,77.0,25.0,34.0,5.0,EDGE,EDGE,604.0,651.2805194805194,604.0,604.0
136,Stable,78.0,22.0,36.0,8.0,EDGE,EDGE,985.6,1014.0328205128204,985.6,985.6
137,Stable,85.0,21.0,28.0,8.0,EDGE,EDGE,908.8,942.9011764705882,908.8,908.8
138,Stable,76.0,22.0,27.0,5.0,EDGE,EDGE,562.0,653.7157894736841,562.0,562.0
139,Stable,80.0,23.0,37.0,2.0,EDGE,EDGE,248.79999999999998,265.96,248.79999999999998,248.79999999999998
140,Stable,77.0,20.0,27.0,7.0,EDGE,EDGE,786.8000000000001,894.8327272727272,786.8000000000001,786.8000000000001
141,Stable,77.0,21.0,22.0,7.0,EDGE,EDGE,744.8000000000001,894.4327272727272,744.8000000000001,744.8000000000001
142,Stable,81.0,23.0,37.0,8.0,EDGE,EDGE,995.1999999999999,984.9634567901235,995.1999999999999,995.1999999999999
143,Stable,81.0,18.0,26.0,7.0,EDGE,EDGE,778.4000000000001,856.6380246913579,778.4000000000001,778.4000000000001
144,Stable,81.0,18.0,38.0,7.0,EDGE,EDGE,879.2,859.998024691358,879.2,879.2
145,Stable,82.0,18.0,31.0,5.0,EDGE,EDGE,586.0,612.0048780487805,586.0,586.0
146,Stable,81.0,24.0,37.0,9.0,EDGE,EDGE,1119.6,1106.2088888888889,1119.6,1119.6
147,Stable,84.0,21.0,35.0,4.0,EDGE,EDGE,488.0,487.55238095238093,488.0,488.0
148,Stable,79.0,24.0,35.0,1.0,EDGE,EDGE,122.0,146.66582278481013,122.0,122.0
149,Stable,81.0,23.0,32.0,3.0,EDGE,EDGE,355.2,383.13629629629634,355.2,355.2
150,Stable,82.0,20.0,39.0,9.0,EDGE,EDGE,1141.2,1092.0887804878048,1141.2,1141.2
151,Stable,75.0,24.0,38.0,10.0,EDGE,EDGE,1256.0,1305.8666666666668,1256.0,1256.0
152,Stable,85.0,18.0,22.0,7.0,EDGE,EDGE,744.8000000000001,822.9835294117647,744.8000000000001,744.8000000000001
153,Stable,77.0,25.0,25.0,1.0,EDGE,EDGE,110.0,149.8961038961039,110.0,110.0
154,Stable,79.0,24.0,30.0,4.0,EDGE,EDGE,464.0,513.8632911392406,464.0,464.0
155,Stable,82.0,23.0,30.0,7.0,EDGE,EDGE,812.0,854.3268292682927,812.0,812.0
156,Stable,79.0,24.0,28.0,2.0,EDGE,EDGE,227.2,268.77164556962026,227.2,227.2
157,Stable,82.0,18.0,37.0,1.0,EDGE,EDGE,124.39999999999999,137.0409756097561,124.39999999999999,124.39999999999999
158,Stable,80.0,21.0,40.0,2.0,EDGE,EDGE,256.0,264.2,256.0,256.0
159,Stable,85.0,18.0,20.0,4.0,EDGE,EDGE,416.0,477.6705882352941,416.0,416.0
160,Stable,78.0,18.0,39.0,3.0,EDGE,EDGE,380.4,390.37230769230774,380.4,380.4
161,Stable,78.0,20.0,35.0,2.0,EDGE,EDGE,244.0,267.9282051282051,244.0,244.0
162,Stable,84.0,21.0,34.0,5.0,EDGE,EDGE,604.0,603.9904761904761,604.0,604.0
163,Stable,80.0,20.0,39.0,10.0,EDGE,EDGE,1268.0,1235.6,1268.0,1268.0
164,Stable,76.0,20.0,29.0,2.0,EDGE,EDGE,229.60000000000002,272.8463157894737,229.60000000000002,229.60000000000002
165,Stable,84.0,18.0,29.0,10.0,EDGE,EDGE,1148.0,1181.9809523809522,1148.0,1148.0
166,Stable,85.0,24.0,32.0,4.0,EDGE,EDGE,473.6,485.5905882352941,473.6,473.6
167,Stable,76.0,21.0,23.0,5.0,EDGE,EDGE,538.0,651.9157894736842,538.0,538.0
168,Stable,85.0,19.0,38.0,1.0,EDGE,EDGE,125.60000000000001,134.63764705882352,125.60000000000001,125.60000000000001
169,Stable,80.0,24.0,31.0,2.0,EDGE,EDGE,234.39999999999998,266.48,234.39999999999998,234.39999999999998
170,Stable,83.0,23.0,20.0,7.0,EDGE,EDGE,728.0,843.2987951807229,728.0,728.0
171,Stable,82.0,19.0,33.0,6.0,EDGE,EDGE,717.6,732.2858536585366,717.6,717.6
172,Stable,85.0,25.0,24.0,7.0,EDGE,EDGE,761.5999999999999,830.5435294117648,761.5999999999999,761.5999999999999
173,Stable,77.0,22.0,39.0,9.0,EDGE,EDGE,1141.2,1151.104935064935,1141.2,1141.2
174,Stable,82.0,25.0,33.0,10.0,EDGE,EDGE,1196.0,1213.809756097561,1196.0,1196.0
175,Stable,79.0,23.0,27.0,2.0,EDGE,EDGE,224.8,267.6916455696203,224.8,224.8
176,Stable,79.0,25.0,27.0,8.0,EDGE,EDGE,899.2,1003.766582278481,899.2,899.2
177,Stable,84.0,24.0,30.0,1.0,EDGE,EDGE,116.0,140.43809523809523,116.0,116.0
178,Stable,82.0,23.0,25.0,8.0,EDGE,EDGE,880.0,971.4878048780488,880.0,880.0
179,Stable,78.0,23.0,28.0,6.0,EDGE,EDGE,681.5999999999999,765.1046153846155,681.5999999999999,681.5999999999999
180,Stable,79.0,22.0,37.0,1.0,EDGE,EDGE,124.39999999999999,144.74582278481012,124.39999999999999,124.39999999999999
181,Stable,83.0,21.0,22.0,4.0,EDGE,EDGE,425.6,490.0621686746988,425.6,425.6
182,Stable,81.0,25.0,37.0,4.0,EDGE,EDGE,497.59999999999997,505.98172839506174,497.59999999999997,497.59999999999997
183,Stable,82.0,25.0,34.0,1.0,EDGE,EDGE,120.8,143.9209756097561,120.8,120.8
184,Stable,76.0,22.0,27.0,7.0,EDGE,EDGE,786.8000000000001,906.4021052631579,786.8000000000001,786.8000000000001
185,Stable,78.0,22.0,38.0,6.0,EDGE,EDGE,753.6,766.5046153846155,753.6,753.6
186,Stable,82.0,23.0,33.0,9.0,EDGE,EDGE,1076.4,1092.928780487805,1076.4,1076.4
187,Stable,80.0,23.0,34.0,5.0,EDGE,EDGE,604.0,629.8,604.0,604.0
188,Stable,79.0,22.0,27.0,2.0,EDGE,EDGE,224.8,266.6916455696203,224.8,224.8
189,Stable,78.0,23.0,23.0,9.0,EDGE,EDGE,968.4,1134.356923076923,968.4,968.4
190,Stable,77.0,21.0,26.0,8.0,EDGE,EDGE,889.6000000000001,1020.4888311688312,889.6000000000001,889.6000000000001
191,Stable,79.0,22.0,23.0,4.0,EDGE,EDGE,430.4,510.7432911392405,430.4,430.4
192,Stable,79.0,21.0,31.0,3.0,EDGE,EDGE,351.59999999999997,388.51746835443043,351.59999999999997,351.59999999999997
193,Stable,79.0,18.0,37.0,3.0,EDGE,EDGE,373.2,386.2374683544304,373.2,373.2
194,Stable,79.0,18.0,21.0,9.0,EDGE,EDGE,946.8,1116.952405063291,946.8,946.8
195,Stable,79.0,20.0,40.0,8.0,EDGE,EDGE,1024.0,1002.926582278481,1024.0,1024.0
196,Stable,76.0,18.0,38.0,5.0,EDGE,EDGE,628.0,651.9157894736842,628.0,628.0
197,Stable,82.0,25.0,34.0,6.0,EDGE,EDGE,724.8,738.5258536585366,724.8,724.8
198,Stable,77.0,18.0,28.0,8.0,EDGE,EDGE,908.8,1018.1288311688313,908.8,908.8
199,Stable,76.0,19.0,32.0,8.0,EDGE,EDGE,947.2,1031.3452631578948,947.2,947.2
200,Stable,76.0,18.0,24.0,3.0,EDGE,EDGE,326.4,396.6694736842105,326.4,326.4
201,Stable,84.0,22.0,22.0,4.0,EDGE,EDGE,425.6,486.47238095238095,425.6,425.6
202,Stable,76.0,24.0,39.0,10.0,EDGE,EDGE,1268.0,1292.2315789473682,1268.0,1268.0
203,Stable,84.0,21.0,36.0,7.0,EDGE,EDGE,862.4,837.7466666666667,862.4,862.4
204,Stable,82.0,25.0,29.0,10.0,EDGE,EDGE,1148.0,1212.209756097561,1148.0,1148.0
205,Stable,81.0,22.0,38.0,10.0,EDGE,EDGE,1256.0,1224.8543209876543,1256.0,1256.0
206,Stable,75.0,19.0,26.0,4.0,EDGE,EDGE,444.80000000000007,529.8266666666667,444.80000000000007,444.80000000000007
207,Stable,79.0,19.0,25.0,4.0,EDGE,EDGE,440.0,508.0632911392405,440.0,440.0
208,Stable,77.0,19.0,25.0,1.0,EDGE,EDGE,110.0,143.8961038961039,110.0,110.0
209,Stable,81.0,25.0,39.0,8.0,EDGE,EDGE,1014.4,987.6034567901235,1014.4,1014.4
210,Stable,79.0,18.0,27.0,5.0,EDGE,EDGE,562.0,629.7291139240507,562.0,562.0
211,Stable,79.0,25.0,22.0,4.0,EDGE,EDGE,425.6,513.5832911392405,425.6,425.6
212,Stable,79.0,21.0,33.0,2.0,EDGE,EDGE,239.20000000000002,266.17164556962024,239.20000000000002,239.20000000000002
213,Stable,83.0,21.0,40.0,3.0,EDGE,EDGE,384.0,374.9566265060241,384.0,384.0
214,Stable,79.0,20.0,22.0,1.0,EDGE,EDGE,106.4,142.14582278481012,106.4,106.4
215,Stable,77.0,22.0,39.0,10.0,EDGE,EDGE,1268.0,1276.5610389610388,1268.0,1268.0
216,Stable,79.0,25.0,23.0,8.0,EDGE,EDGE,860.8,1002.486582278481,860.8,860.8
217,Stable,79.0,24.0,28.0,9.0,EDGE,EDGE,1022.4,1125.472405063291,1022.4,1022.4
218,Stable,83.0,25.0,34.0,2.0,EDGE,EDGE,241.6,260.49108433734943,241.6,241.6
219,Stable,84.0,18.0,33.0,6.0,EDGE,EDGE,717.6,717.3485714285714,717.6,717.6
220,Stable,84.0,22.0,20.0,2.0,EDGE,EDGE,208.0,254.07619047619045,208.0,208.0
221,Stable,78.0,18.0,28.0,10.0,EDGE,EDGE,1136.0,1254.8410256410257,1136.0,1136.0
222,Stable,75.0,20.0,35.0,9.0,EDGE,EDGE,1098.0,1172.6,1098.0,1098.0
223,Stable,85.0,25.0,28.0,3.0,EDGE,EDGE,340.79999999999995,370.7129411764706,340.79999999999995,340.79999999999995
224,Stable,84.0,24.0,40.0,8.0,EDGE,EDGE,1024.0,958.7047619047619,1024.0,1024.0
225,Stable,76.0,25.0,31.0,7.0,EDGE,EDGE,820.3999999999999,910.5221052631578,820.3999999999999,820.3999999999999
226,Stable,80.0,23.0,23.0,3.0,EDGE,EDGE,322.8,385.76,322.8,322.8
227,Stable,80.0,24.0,35.0,5.0,EDGE,EDGE,610.0,631.0,610.0,610.0
228,Stable,85.0,24.0,37.0,1.0,EDGE,EDGE,124.39999999999999,139.59764705882353,124.39999999999999,124.39999999999999
229,Stable,82.0,19.0,30.0,5.0,EDGE,EDGE,580.0,612.8048780487804,580.0,580.0
230,Stable,80.0,19.0,32.0,9.0,EDGE,EDGE,1065.6,1110.52,1065.6,1065.6
231,Stable,75.0,25.0,33.0,1.0,EDGE,EDGE,119.60000000000001,152.98666666666668,119.60000000000001,119.60000000000001
232,Stable,78.0,23.0,39.0,8.0,EDGE,EDGE,1014.4,1015.9928205128205,1014.4,1014.4
233,Stable,85.0,25.0,21.0,4.0,EDGE,EDGE,420.79999999999995,484.8305882352941,420.79999999999995,420.79999999999995
234,Stable,79.0,20.0,29.0,8.0,EDGE,EDGE,918.4000000000001,999.406582278481,918.4000000000001,918.4000000000001
235,Stable,82.0,19.0,20.0,10.0,EDGE,EDGE,1040.0,1202.6097560975609,1040.0,1040.0
236,Stable,78.0,20.0,29.0,9.0,EDGE,EDGE,1033.2,1133.5169230769231,1033.2,1033.2
237,Stable,75.0,24.0,22.0,4.0,EDGE,EDGE,425.6,534.1866666666667,425.6,425.6
238,Stable,76.0,25.0,23.0,3.0,EDGE,EDGE,322.8,403.5494736842105,322.8,322.8
239,Stable,82.0,22.0,36.0,5.0,EDGE,EDGE,616.0,617.0048780487805,616.0,616.0
240,Stable,81.0,25.0,35.0,4.0,EDGE,EDGE,488.0,505.66172839506174,488.0,488.0
241,Stable,82.0,20.0,32.0,4.0,EDGE,EDGE,473.6,495.3639024390244,473.6,473.6
242,Stable,84.0,20.0,22.0,5.0,EDGE,EDGE,532.0,600.5904761904761,532.0,532.0
243,Stable,81.0,23.0,36.0,5.0,EDGE,EDGE,616.0,624.0271604938272,616.0,616.0
244,Stable,75.0,22.0,29.0,10.0,EDGE,EDGE,1148.0,1300.2666666666669,1148.0,1148.0
245,Stable,84.0,25.0,24.0,8.0,EDGE,EDGE,870.3999999999999,954.5847619047618,870.3999999999999,870.3999999999999
