Time,Scenario,Bandwidth_Mbps,Latency_ms,CPU_Usage_percent,Task_Size_MB
1,Stable,85,19,20,5
2,Stable,78,21,24,2
3,Stable,85,19,38,7
4,Stable,75,18,22,4
5,Stable,78,18,37,4
6,Stable,85,24,27,8
7,Stable,84,22,20,3
8,Stable,81,23,28,3
9,Stable,78,23,23,2
10,Stable,81,19,31,6
11,Stable,84,22,21,8
12,Stable,83,19,32,2
13,Stable,83,22,40,10
14,Stable,80,21,22,1
15,Stable,85,21,29,2
16,Stable,78,19,32,5
17,Stable,82,23,25,6
18,Stable,80,21,28,2
19,Stable,84,20,37,4
20,Stable,77,25,32,5
21,Stable,85,21,30,1
22,Stable,78,18,30,7
23,Stable,79,19,26,10
24,Stable,80,21,40,8
25,Stable,81,25,24,5
26,Stable,77,21,37,9
27,Stable,79,24,38,7
28,Stable,80,21,24,9
29,Stable,82,19,21,2
30,Stable,77,20,33,10
31,Stable,76,24,32,10
32,Stable,82,22,37,1
33,Stable,85,19,37,5
34,Stable,85,23,23,5
35,Stable,81,20,34,1
36,Stable,79,20,36,2
37,Stable,85,22,40,9
38,Stable,84,21,24,6
39,Stable,77,18,39,6
40,Stable,82,18,23,6
41,Stable,79,21,21,4
42,Stable,84,19,22,8
43,Stable,76,20,24,8
44,Stable,83,20,28,9
45,Stable,84,24,26,9
46,Stable,78,22,32,6
47,Stable,82,25,23,4
48,Stable,78,19,30,1
49,Stable,84,21,38,4
50,Stable,75,19,40,1
51,Stable,78,19,21,6
52,Stable,76,21,28,8
53,Stable,78,20,38,10
54,Stable,82,21,35,7
55,Stable,78,19,23,7
56,Stable,80,24,33,8
57,Stable,75,19,21,7
58,Stable,80,19,27,4
59,Stable,78,25,24,7
60,Stable,77,22,34,4
61,Stable,76,25,37,2
62,Stable,75,18,22,4
63,Stable,77,24,35,8
64,Stable,78,24,21,3
65,Stable,81,18,32,5
66,Stable,82,22,33,9
67,Stable,85,25,24,4
68,Stable,79,21,21,10
69,Stable,83,18,30,1
70,Stable,75,25,36,9
71,Stable,77,18,36,2
72,Stable,77,19,39,2
73,Stable,85,21,32,2
74,Stable,84,21,38,10
75,Stable,75,19,33,10
76,Stable,84,23,28,4
77,Stable,85,23,27,5
78,Stable,81,20,40,5
79,Stable,82,23,22,1
80,Stable,82,19,22,9
81,Stable,78,22,24,6
82,Stable,76,21,31,5
83,Stable,77,25,37,5
84,Stable,84,18,37,5
85,Stable,85,19,24,5
86,Stable,76,19,37,3
87,Stable,79,22,39,4
88,Stable,80,21,40,5
89,Stable,83,25,28,1
90,Stable,76,24,28,1
91,Stable,75,23,24,5
92,Stable,77,25,37,7
93,Stable,83,18,23,2
94,Stable,77,18,31,10
95,Stable,83,20,33,3
96,Stable,75,22,31,1
97,Stable,80,21,27,2
98,Stable,80,24,39,3
99,Stable,78,20,25,7
100,Stable,75,20,30,7
101,Stable,85,21,28,3
102,Stable,76,24,21,8
103,Stable,78,21,34,6
104,Stable,79,21,27,1
105,Stable,85,21,32,6
